"FECHA_CORREGIDA","SUMA"
"2014-01",2991
"2014-02",3258
"2014-03",3855
"2014-04",3425
"2014-05",3686
"2014-06",3404
"2014-07",3620
"2014-08",3572
"2014-09",3533
"2014-10",3429
"2014-11",3318
"2014-12",3503
"2015-01",2950
"2015-02",3291
"2015-03",3635
"2015-04",3418
"2015-05",3679
"2015-06",3254
"2015-07",3708
"2015-08",3729
"2015-09",3789
"2015-10",3666
"2015-11",3376
"2015-12",3585
"2016-01",3028
"2016-02",3513
"2016-03",3588
"2016-04",3620
"2016-05",3579
"2016-06",3360
"2016-07",3616
"2016-08",3890
"2016-09",3734
"2016-10",3844
"2016-11",3558
"2016-12",3511
"2017-01",3136
"2017-02",3492
"2017-03",3566
"2017-04",3351
"2017-05",3742
"2017-06",3459
"2017-07",3606
"2017-08",3906
"2017-09",3767
"2017-10",3594
"2017-11",3435
"2017-12",3509
"2018-01",2959
"2018-02",3251
"2018-03",3334
"2018-04",3382
"2018-05",3529
"2018-06",3291
"2018-07",3334
"2018-08",3598
"2018-09",3462
"2018-10",3535
"2018-11",3264
"2018-12",3409
"2019-01",2923
"2019-02",3136
"2019-03",3154
"2019-04",3156
"2019-05",3480
"2019-06",3264
