"PERIODO","CLASE","CANTIDAD_ACCIDENTE","TOTAL","PORCENTAJE"
2019,"CHOQUE",13481,19113,70.5331449798566
2018,"CHOQUE",28207,40348,69.9092891840983
2017,"CHOQUE",29196,42563,68.5947889011583
2015,"CHOQUE",28249,42080,67.1316539923954
2016,"CHOQUE",28631,42841,66.8308396162555
2014,"CHOQUE",27157,41594,65.2906669231139
2014,"ATROPELLO",4779,41594,11.4896379285474
2016,"OTRO",4870,42841,11.3676151350342
2017,"OTRO",4718,42563,11.0847449662853
2014,"OTRO",4521,41594,10.869356157138
2015,"ATROPELLO",4485,42080,10.6582699619772
2015,"OTRO",4218,42080,10.0237642585551
2014,"CAIDA DE OCUPANTE",4157,41594,9.99422993701015
2016,"ATROPELLO",4167,42841,9.72666370999743
2019,"ATROPELLO",1801,19113,9.42290587558206
2018,"OTRO",3739,40348,9.26687816000793
2019,"OTRO",1752,19113,9.16653586564119
2018,"CAIDA DE OCUPANTE",3617,40348,8.96450877366908
2018,"ATROPELLO",3604,40348,8.93228908496084
2015,"CAIDA DE OCUPANTE",3691,42080,8.77138783269962
2016,"CAIDA DE OCUPANTE",3680,42841,8.58990219649401
2017,"ATROPELLO",3640,42563,8.55202875737143
2017,"CAIDA DE OCUPANTE",3433,42563,8.06569085825717
2019,"CAIDA DE OCUPANTE",1527,19113,7.98932663632083
2017,"VOLCAMIENTO",1572,42563,3.69334868312854
2016,"VOLCAMIENTO",1484,42841,3.46397142923835
2015,"VOLCAMIENTO",1435,42080,3.4101711026616
2018,"VOLCAMIENTO",1174,40348,2.90968573411322
2019,"VOLCAMIENTO",549,19113,2.87239051954167
2014,"VOLCAMIENTO",972,41594,2.33687551089099
2014,"INCENDIO",8,41594,0.0192335432995144
2018,"INCENDIO",7,40348,0.0173490631505899
2019,"INCENDIO",3,19113,0.0156961230576048
2016,"",5,42841,0.0116710627669756
2017,"INCENDIO",4,42563,0.00939783379930926
2016,"INCENDIO",4,42841,0.00933685021358045
2015,"",1,42080,0.00237642585551331
2015,"INCENDIO",1,42080,0.00237642585551331
